id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,840,2,43.78,0,87.56
2,2,521,3,664.49,0,1993.47
3,2,38,3,321.77,0,965.31
4,3,506,2,79.59,15,135.3
5,4,252,1,578.59,0,578.59
6,4,405,1,290.33,0,290.33
7,4,484,1,112.44,0,112.44
8,5,519,1,551.26,10,496.13
9,5,487,1,233.18,0,233.18
10,6,215,1,835.88,0,835.88
11,6,679,3,24.83,0,74.49
12,6,1088,1,194.14,0,194.14
13,7,1118,1,92.29,0,92.29
14,7,641,1,149.74,0,149.74
15,7,469,4,467.5,0,1870
16,7,844,4,459.84,0,1839.36
17,7,567,1,42.15,0,42.15
18,8,125,2,211.98,0,423.96
19,9,1185,3,119.93,0,359.79
20,10,167,3,158.37,0,475.11
21,10,823,2,274.93,0,549.86
22,11,353,4,230.26,0,921.04
23,12,781,1,734.5,0,734.5
24,13,835,3,557.91,0,1673.73
25,14,668,1,76.16,10,68.54
26,14,761,2,417.18,15,709.21
27,14,29,1,292.37,0,292.37
28,14,690,4,610.02,0,2440.08
29,15,1003,1,521.12,0,521.12
30,15,855,1,20.54,0,20.54
31,15,632,1,47.51,0,47.51
32,16,379,2,537.24,0,1074.48
33,17,1040,1,259.07,5,246.12
34,17,473,1,270.93,0,270.93
35,17,915,3,647.88,0,1943.64
36,17,477,3,71.5,0,214.5
37,18,66,2,85.47,15,145.3
38,18,1099,4,463.5,10,1668.6
39,18,224,2,23.22,0,46.44
40,18,677,2,466.1,0,932.2
41,19,490,1,173.38,15,147.37
42,20,410,1,129.47,0,129.47
43,20,595,1,726.22,0,726.22
44,20,637,2,696.64,0,1393.28
45,21,769,1,79.03,0,79.03
46,21,291,4,399.75,0,1599
47,21,498,1,546.17,0,546.17
48,21,1109,2,17.72,0,35.44
49,22,1180,1,191.28,0,191.28
50,22,309,1,177.48,0,177.48
51,22,1192,4,171.94,0,687.76
52,22,165,1,686.07,0,686.07
53,23,93,3,343.92,0,1031.76
54,23,237,1,422.23,10,380.01
55,24,447,3,524.04,10,1414.91
56,24,291,2,399.75,0,799.5
57,24,506,4,79.59,0,318.36
58,24,725,4,190.89,0,763.56
59,25,279,4,134.82,0,539.28
60,25,770,2,687.16,10,1236.89
61,26,915,1,647.88,0,647.88
62,26,1134,3,694.92,0,2084.76
63,27,152,3,258.07,5,735.5
64,28,1160,1,181.04,5,171.99
65,28,861,2,273.38,0,546.76
66,29,1087,1,114.07,0,114.07
67,29,529,3,387.57,0,1162.71
68,29,1006,3,317.24,0,951.72
69,29,974,3,39.81,0,119.43
70,30,797,3,610.88,0,1832.64
71,31,461,1,248.64,0,248.64
72,32,293,2,301.25,0,602.5
73,32,806,2,392.59,10,706.66
74,33,242,2,200.72,0,401.44
75,34,194,1,164.93,0,164.93
76,34,61,1,776.28,15,659.84
77,35,1136,2,300.87,0,601.74
78,35,889,1,813.39,5,772.72
79,35,516,2,591.52,0,1183.04
80,35,466,2,423.82,0,847.64
81,35,498,4,546.17,0,2184.68
82,36,69,4,426.04,0,1704.16
83,36,71,4,594.69,0,2378.76
84,36,783,2,98.44,0,196.88
85,36,822,3,323.93,0,971.79
86,36,590,4,199.63,0,798.52
87,37,424,4,690.95,0,2763.8
88,37,346,3,342.95,0,1028.85
89,38,945,1,667.03,0,667.03
90,39,900,1,126.44,15,107.47
91,40,670,1,553.68,5,526
92,40,1129,1,533.95,0,533.95
93,40,612,1,144.01,0,144.01
94,41,636,1,722.31,0,722.31
95,41,735,3,198.19,0,594.57
96,41,408,4,458.87,0,1835.48
97,41,256,3,642.54,20,1542.1
98,42,653,1,515.99,0,515.99
99,43,248,1,752.24,0,752.24
100,43,430,3,774.47,0,2323.41
101,44,192,1,272.83,20,218.26
102,44,224,2,23.22,15,39.47
103,44,15,3,528.49,0,1585.47
104,44,971,3,127.75,0,383.25
105,44,1004,1,612.93,20,490.34
106,45,1143,2,506.08,0,1012.16
107,45,309,1,177.48,0,177.48
108,45,532,1,349.06,0,349.06
109,46,867,2,780.23,0,1560.46
110,46,1021,1,554.87,0,554.87
111,47,326,3,429.48,10,1159.6
112,48,1034,2,464.16,0,928.32
113,48,721,3,59.96,0,179.88
114,48,1167,1,210.9,0,210.9
115,48,1128,1,359.72,0,359.72
116,48,43,1,11.47,0,11.47
117,49,197,3,497.8,0,1493.4
118,49,1197,1,684.32,0,684.32
119,49,450,3,78.31,0,234.93
120,50,585,4,535.18,0,2140.72
121,51,115,1,880.11,0,880.11
122,51,77,1,707.95,20,566.36
123,51,408,4,458.87,5,1743.71
124,52,235,3,242.42,0,727.26
125,52,668,1,76.16,20,60.93
126,53,172,4,430.11,0,1720.44
127,54,764,1,424.42,0,424.42
128,55,773,2,517.34,0,1034.68
129,55,974,2,39.81,20,63.7
130,55,172,1,430.11,10,387.1
131,55,1127,1,54.29,0,54.29
132,55,367,1,47.33,0,47.33
133,56,854,3,87.35,0,262.05
134,57,86,1,744.49,15,632.82
135,58,1152,1,353.27,20,282.62
136,58,834,2,104.17,0,208.34
137,58,268,1,539.31,0,539.31
138,59,794,1,82.79,0,82.79
139,59,923,1,428.16,0,428.16
140,60,184,1,244,0,244
141,60,953,1,316.18,0,316.18
142,61,653,1,515.99,0,515.99
143,61,896,2,257.86,0,515.72
144,61,654,2,444.94,0,889.88
145,62,623,4,262.15,0,1048.6
146,62,282,3,48.34,0,145.02
147,63,574,2,140.61,0,281.22
148,64,958,2,83.15,0,166.3
149,65,310,3,125.3,0,375.9
150,65,724,1,333.77,0,333.77
151,66,417,1,551.46,10,496.31
152,67,378,1,373.28,0,373.28
153,67,412,1,284.92,5,270.67
154,67,995,1,598.35,0,598.35
155,68,489,1,55.41,0,55.41
156,68,1099,1,463.5,10,417.15
157,69,715,1,740.03,0,740.03
158,69,177,1,466.36,20,373.09
159,70,70,1,808.76,15,687.45
160,70,723,1,396.38,0,396.38
161,71,469,3,467.5,0,1402.5
162,71,673,2,241.38,0,482.76
163,71,674,1,467.71,5,444.32
164,71,269,2,543.68,0,1087.36
165,72,983,2,587.23,0,1174.46
166,72,459,1,558.57,0,558.57
167,72,803,1,741.76,0,741.76
168,72,1016,2,263.53,0,527.06
169,72,132,1,667.8,0,667.8
170,73,354,3,405.05,0,1215.15
171,73,1057,3,459.37,0,1378.11
172,73,350,1,449.92,5,427.42
173,73,579,1,116.8,10,105.12
174,74,135,4,405.57,0,1622.28
175,74,1123,1,502.51,10,452.26
176,74,700,1,22.05,0,22.05
177,75,1156,1,468.5,0,468.5
178,75,1128,3,359.72,0,1079.16
179,76,1082,2,359.87,0,719.74
180,76,317,3,495.91,0,1487.73
181,76,312,1,72.61,0,72.61
182,76,760,1,205.35,0,205.35
183,77,1170,1,439.24,0,439.24
