id,order_number,customer_id,shipping_address_id,billing_address_id,status,subtotal,tax,shipping_cost,total,order_date
1,ORD-0000001,1261,1764,1764,delivered,87.56,6.13,0,93.69,2024-11-14T23:19:14Z
2,ORD-0000002,290,402,402,delivered,2958.78,207.11,0,3165.89,2024-08-09T09:40:25Z
3,ORD-0000003,2421,3392,3392,pending,135.3,9.47,0,144.77,2024-06-10T22:58:16Z
4,ORD-0000004,1111,1547,1546,returned,981.36,68.7,0,1050.06,2024-11-16T11:01:24Z
5,ORD-0000005,1751,2453,2453,delivered,729.31,51.05,0,780.36,2024-10-06T10:25:16Z
6,ORD-0000006,2153,3013,3013,delivered,1104.51,77.32,0,1181.83,2024-11-24T07:27:10Z
7,ORD-0000007,356,492,492,cancelled,3993.54,279.55,0,4273.09,2025-01-16T21:39:33Z
8,ORD-0000008,100,137,138,processing,423.96,29.68,0,453.64,2024-06-29T20:59:16Z
9,ORD-0000009,1248,1746,1747,pending,359.79,25.19,0,384.98,2024-03-02T16:01:43Z
10,ORD-0000010,2881,4029,4029,delivered,1024.97,71.75,0,1096.72,2025-01-05T11:32:18Z
11,ORD-0000011,351,486,486,delivered,921.04,64.47,0,985.51,2023-04-20T04:05:20Z
12,ORD-0000012,1891,2647,2647,returned,734.5,51.42,0,785.92,2024-03-22T18:49:39Z
13,ORD-0000013,1450,2032,2031,delivered,1673.73,117.16,0,1790.89,2024-01-17T05:33:56Z
14,ORD-0000014,281,390,390,shipped,3510.2,245.71,0,3755.91,2021-11-02T17:06:49Z
15,ORD-0000015,420,583,583,delivered,589.17,41.24,0,630.41,2022-07-11T23:08:03Z
16,ORD-0000016,1788,2502,2502,shipped,1074.48,75.21,0,1149.69,2025-01-15T11:36:29Z
17,ORD-0000017,288,400,399,delivered,2675.19,187.26,0,2862.45,2023-10-02T14:34:45Z
18,ORD-0000018,7,11,10,delivered,2792.54,195.48,0,2988.02,2024-12-21T01:44:28Z
19,ORD-0000019,2108,2950,2950,cancelled,147.37,10.32,0,157.69,2024-12-14T20:56:42Z
