id,order_id,payment_method,amount,status,transaction_id,paid_at
1,1,paypal,93.69,completed,TXN-V85N6T19KQ,2024-11-14T23:53:52Z
2,2,apple_pay,3165.89,completed,TXN-Y9NWKIL6EL,2024-08-09T10:11:05Z
3,3,credit_card,144.77,pending,TXN-UA10W29N1K,
4,4,credit_card,1050.06,refunded,TXN-AFGZ6UPXFQ,2024-11-16T12:17:17Z
5,5,credit_card,780.36,completed,TXN-AXQMOS8X6A,2024-10-06T11:50:31Z
6,6,credit_card,1181.83,completed,TXN-Q3ORTL1FM7,2024-11-24T09:25:05Z
7,7,apple_pay,4273.09,failed,TXN-QAIBY6TRZZ,
8,8,credit_card,453.64,completed,TXN-4L8XXMU0ZC,2024-06-29T21:08:12Z
9,9,credit_card,384.98,pending,TXN-D2DT9WHUUP,
10,10,debit_card,1096.72,completed,TXN-EC5O73PE2T,2025-01-05T13:00:02Z
11,11,credit_card,985.51,completed,TXN-PG4XJPATVO,2023-04-20T04:26:09Z
12,12,credit_card,785.92,refunded,TXN-KY02XLF0RR,2024-03-22T19:04:29Z
13,13,paypal,1790.89,completed,TXN-Z2PT715PMJ,2024-01-17T06:09:39Z
14,14,google_pay,3755.91,completed,TXN-H9XHF120XA,2021-11-02T18:15:20Z
15,15,paypal,630.41,completed,TXN-NGBHJDZL38,2022-07-12T00:05:01Z
16,16,paypal,1149.69,completed,TXN-VY4EJLPFYY,2025-01-15T12:45:55Z
17,17,paypal,2862.45,completed,TXN-2LA119LUU2,2023-10-02T15:01:40Z
18,18,paypal,2988.02,completed,TXN-E271OVKZKG,2024-12-21T03:10:43Z
19,19,credit_card,157.69,refunded,TXN-PL77HLI5DY,2024-12-14T22:38:18Z
20,20,debit_card,2406.4,completed,TXN-C9QQZ55JTA,2023-06-22T01:43:28Z
21,21,paypal,2417.81,refunded,TXN-0VSPTXMJFN,2024-04-28T23:11:21Z
22,22,credit_card,1864.57,completed,TXN-3DKLYWKQZT,2024-10-05T22:58:21Z
23,23,debit_card,1510.59,completed,TXN-4IZCW43367,2023-10-12T20:01:28Z
24,24,credit_card,3527.07,completed,TXN-WFIGFUI6KH,2022-04-24T15:36:58Z
25,25,credit_card,1900.5,completed,TXN-O6LN19Y01P,2022-07-17T02:37:37Z
26,26,debit_card,2923.92,completed,TXN-I2U9M66355,2023-11-18T23:01:19Z
27,27,credit_card,786.99,completed,TXN-81PLAP9HTO,2025-01-06T18:56:25Z
28,28,apple_pay,769.06,refunded,TXN-LNBEJG7U7F,2022-06-30T06:04:46Z
29,29,credit_card,2512.29,completed,TXN-LBRWOF6H8S,2025-01-08T07:08:23Z
30,30,apple_pay,1960.92,refunded,TXN-VS69ASM8Z7,2023-03-16T20:32:16Z
31,31,apple_pay,266.04,failed,TXN-K23F0HUZ4S,
32,32,debit_card,1400.8,completed,TXN-V379CNNF2B,2024-07-02T08:29:09Z
33,33,credit_card,429.54,completed,TXN-7HA70DG39X,2025-01-01T16:06:05Z
34,34,credit_card,882.5,completed,TXN-GAYN67YFBK,2023-11-17T14:05:40Z
35,35,debit_card,5981.11,pending,TXN-YWTEKHMN22,
36,36,credit_card,6473.62,completed,TXN-SJFESAKPFG,2024-12-20T18:59:54Z
37,37,credit_card,4058.14,completed,TXN-Q4TJEJARBJ,2025-01-14T21:37:45Z
38,38,google_pay,713.72,completed,TXN-TFSGMK4ABW,2023-04-10T10:43:08Z
39,39,apple_pay,114.99,completed,TXN-SQQAXFM20Z,2024-06-23T09:50:20Z
40,40,credit_card,1288.24,completed,TXN-OITOMFIO4F,2024-03-15T15:55:00Z
41,41,credit_card,5023.07,completed,TXN-OL73DT5RVK,2024-03-17T08:45:41Z
42,42,credit_card,552.11,completed,TXN-YZGZCFNQKS,2023-10-05T20:35:07Z
43,43,debit_card,3290.95,completed,TXN-15IJF4KTAP,2023-10-16T00:23:47Z
44,44,credit_card,2906.97,completed,TXN-ZN6E65J3UU,2024-06-28T04:41:15Z
45,45,credit_card,1646.41,completed,TXN-MQQA7AIV9A,2024-08-05T03:34:51Z
46,46,paypal,2263.4,completed,TXN-IIXZA3IU97,2024-04-23T11:54:37Z
47,47,debit_card,1240.77,completed,TXN-JEIJX4NC7P,2024-08-30T21:51:32Z
48,48,credit_card,1808.61,refunded,TXN-JA8QSCQJKV,2025-01-15T11:23:59Z
49,49,debit_card,2581.54,completed,TXN-YNT9ZUL6BE,2023-09-11T09:41:26Z
50,50,debit_card,2290.57,completed,TXN-O03N1IL2GC,2025-01-23T16:36:51Z
51,51,apple_pay,3413.49,completed,TXN-19YAMWTUJS,2024-12-24T01:33:12Z
52,52,paypal,843.36,completed,TXN-VIX8UHS7Y6,2024-07-07T16:48:27Z
53,53,credit_card,1840.87,completed,TXN-YF3H5ZIFPP,2024-06-18T02:13:43Z
54,54,apple_pay,454.13,pending,TXN-QAH572QZDW,
55,55,paypal,1698.2,completed,TXN-6TCT33IOFF,2024-10-04T07:28:11Z
56,56,credit_card,280.39,completed,TXN-EYEC0UEZYP,2023-10-11T04:33:15Z
57,57,debit_card,677.12,completed,TXN-ZHLHL39NZZ,2025-01-04T09:27:55Z
58,58,credit_card,1102.39,completed,TXN-4M8R6O1HV2,2021-08-20T22:57:25Z
59,59,paypal,546.72,completed,TXN-JV2FOCL7J0,2024-05-19T09:51:05Z
60,60,credit_card,599.39,completed,TXN-ZXCNX3DQR9,2023-01-06T22:14:02Z
61,61,debit_card,2056.1,completed,TXN-XJJLILR5X6,2023-04-16T11:44:00Z
62,62,apple_pay,1277.17,completed,TXN-UGWE7XWTUU,2024-04-23T06:46:01Z
63,63,debit_card,300.91,completed,TXN-C56BSLJ42D,2024-09-22T15:42:46Z
64,64,debit_card,177.94,completed,TXN-JYZ2BPTM89,2024-10-17T11:52:43Z
65,65,paypal,759.35,completed,TXN-I2Z5Y31576,2024-08-29T09:25:57Z
66,66,debit_card,531.05,completed,TXN-FKSBQJ137K,2023-03-02T15:03:15Z
67,67,gift_card,1329.26,completed,TXN-CO1X47CR9K,2022-04-15T06:19:22Z
68,68,credit_card,505.64,refunded,TXN-F4BU7D6ZS8,2024-12-21T20:46:09Z
69,69,debit_card,1191.04,completed,TXN-XM2ADFYJEM,2024-07-01T15:39:11Z
70,70,credit_card,1159.7,completed,TXN-I1P4964ZR2,2023-04-14T12:28:17Z
71,71,debit_card,3656.13,completed,TXN-S7U74KTY76,2024-10-08T08:35:35Z
72,72,credit_card,3926.53,completed,TXN-9J9JH6I8VZ,2022-07-22T12:09:19Z
73,73,apple_pay,3344.61,completed,TXN-3JOUDYFXL3,2024-11-13T04:50:36Z
74,74,credit_card,2243.35,completed,TXN-TEESH1M2PX,2024-11-21T11:16:00Z
75,75,debit_card,1656,completed,TXN-28Z1BDN5GS,2024-12-07T19:50:16Z
76,76,debit_card,2659.41,completed,TXN-Y7COSJJ2W9,2024-10-24T14:52:54Z
77,77,apple_pay,820.13,completed,TXN-2AU46U4EID,2023-04-12T15:52:34Z
78,78,credit_card,5388.51,completed,TXN-91DM8EO43E,2022-12-22T20:10:58Z
79,79,debit_card,712.43,completed,TXN-IEX6IJFAT1,2025-01-15T08:05:15Z
80,80,debit_card,154.9,completed,TXN-8TAU1AG5CG,2024-09-08T19:06:01Z
81,81,paypal,1910.56,completed,TXN-XUKAUB32D3,2023-10-27T02:55:09Z
82,82,credit_card,2006.26,completed,TXN-3UD0OWCVW9,2023-10-21T13:56:16Z
83,83,credit_card,2109.95,refunded,TXN-17B9UFB5TW,2024-12-08T23:28:16Z
84,84,debit_card,1751.89,completed,TXN-WA421RQ8LK,2023-05-29T20:24:26Z
