id,sku,name,description,category_id,supplier_id,price,cost,stock_quantity,weight_kg,is_active,created_at
1,SKU-31-581016,Lightweight Serum 236,Lightweight Serum 236 — quality skincare product.,31,26,573.59,372.32,196,3.6,1,2021-01-01T07:51:45Z
2,SKU-17-335147,Elite Blender 641,Elite Blender 641 — quality small appliances product.,17,63,291.85,147,162,9.62,1,2021-01-01T10:00:11Z
3,SKU-17-606851,Deluxe Blender 723,Deluxe Blender 723 — quality small appliances product.,17,61,135.97,93.09,198,8.57,1,2021-01-01T16:46:00Z
4,SKU-21-947150,Elite Sneakers 597,Elite Sneakers 597 — quality shoes product.,21,4,783.15,365.89,426,1.92,1,2021-01-01T18:38:19Z
5,SKU-34-776434,Smart Multivitamin 758,Smart Multivitamin 758 — quality vitamins product.,34,43,270.2,151.43,150,0.48,1,2021-01-01T22:49:14Z
6,SKU-11-605738,Smart Headset 141,Smart Headset 141 — quality headphones product.,11,44,507.72,292.94,418,6.54,1,2021-01-01T23:15:25Z
7,SKU-23-377206,Elite Biography 791,Elite Biography 791 — quality non-fiction product.,23,19,464.34,324.48,31,5.32,1,2021-01-02T05:02:50Z
8,SKU-17-413605,Compact Toaster 770,Compact Toaster 770 — quality small appliances product.,17,22,569.66,336.56,301,14.59,1,2021-01-02T10:10:04Z
9,SKU-21-322605,Deluxe Sneakers 639,Deluxe Sneakers 639 — quality shoes product.,21,24,527.96,240.23,93,8.32,1,2021-01-02T10:49:53Z
10,SKU-24-805573,Portable Storybook 468,Portable Storybook 468 — quality children's books product.,24,22,358.52,171.53,88,0.74,1,2021-01-02T10:54:39Z
11,SKU-14-115253,Ultra Dutch Oven 813,Ultra Dutch Oven 813 — quality cookware product.,14,55,134.89,92.4,497,14.22,1,2021-01-02T14:33:17Z
12,SKU-26-412745,Deluxe Tent 394,Deluxe Tent 394 — quality camping product.,26,10,505.16,339.98,319,4.62,1,2021-01-02T16:40:34Z
13,SKU-21-233204,Deluxe Boots 553,Deluxe Boots 553 — quality shoes product.,21,69,761.84,369.13,307,14.57,1,2021-01-02T23:44:31Z
14,SKU-32-469736,Portable Lipstick 194,Portable Lipstick 194 — quality makeup product.,32,32,499.49,364.72,97,13.99,1,2021-01-03T06:46:18Z
15,SKU-23-958323,Smart Biography 922,Smart Biography 922 — quality non-fiction product.,23,2,528.49,365.35,332,2,0,2021-01-03T08:24:39Z
16,SKU-30-610528,Eco Puzzle 667,Eco Puzzle 667 — quality educational product.,30,54,578.06,275.45,119,14.1,1,2021-01-03T09:23:44Z
17,SKU-21-275326,Portable Running Shoes 433,Portable Running Shoes 433 — quality shoes product.,21,17,566.56,301.95,174,11.55,1,2021-01-03T15:26:51Z
18,SKU-14-311033,Portable Cookware Set 176,Portable Cookware Set 176 — quality cookware product.,14,48,70.54,45.98,129,0.45,1,2021-01-03T15:51:47Z
19,SKU-29-523782,Prime Collectible Figure 845,Prime Collectible Figure 845 — quality action figures product.,29,55,276.13,163.78,367,9.11,1,2021-01-03T17:14:04Z
20,SKU-22-043600,Prime Novel 758,Prime Novel 758 — quality fiction product.,22,43,641.26,334.24,298,3.61,1,2021-01-03T21:29:43Z
21,SKU-27-656883,Lightweight Bike Light 745,Lightweight Bike Light 745 — quality cycling product.,27,64,181.33,117.94,176,7.31,1,2021-01-03T22:36:58Z
22,SKU-13-185882,Heavy-Duty 4K TV 665,Heavy-Duty 4K TV 665 — quality televisions product.,13,35,517.48,370.3,44,12.39,1,2021-01-04T03:27:12Z
23,SKU-34-312055,Heavy-Duty Omega-3 486,Heavy-Duty Omega-3 486 — quality vitamins product.,34,64,437.59,247.84,317,14.9,0,2021-01-04T06:35:40Z
24,SKU-34-356649,Portable Probiotic 534,Portable Probiotic 534 — quality vitamins product.,34,19,652.94,317.44,498,4.88,1,2021-01-04T07:06:36Z
25,SKU-31-241173,Eco Serum 108,Eco Serum 108 — quality skincare product.,31,2,743.36,396.9,322,12.61,0,2021-01-04T14:23:29Z
26,SKU-33-853747,Pro Shampoo 952,Pro Shampoo 952 — quality hair care product.,33,3,229.56,173.22,413,12.12,1,2021-01-04T15:19:52Z
27,SKU-23-275744,Essential Biography 287,Essential Biography 287 — quality non-fiction product.,23,27,511.44,374.9,283,14.09,0,2021-01-04T18:05:43Z
28,SKU-12-062245,Lightweight DSLR 679,Lightweight DSLR 679 — quality cameras product.,12,44,404.67,217.17,424,13.83,0,2021-01-04T18:59:36Z
29,SKU-15-831155,Heavy-Duty Bookshelf 358,Heavy-Duty Bookshelf 358 — quality furniture product.,15,20,292.37,188.99,160,3.13,1,2021-01-05T01:44:31Z
30,SKU-19-372016,Ultra Leggings 353,Ultra Leggings 353 — quality women's product.,19,8,402.65,250.22,44,11.89,1,2021-01-05T08:35:00Z
31,SKU-22-667021,Essential Paperback 422,Essential Paperback 422 — quality fiction product.,22,42,92.55,43.07,491,1.37,0,2021-01-05T14:50:02Z
32,SKU-20-707527,Prime Kids Jacket 564,Prime Kids Jacket 564 — quality kids product.,20,24,269.33,168.65,458,4.34,1,2021-01-05T17:45:58Z
33,SKU-10-562681,Smart Mobile 899,Smart Mobile 899 — quality smartphones product.,10,66,341.39,182.92,307,11.28,1,2021-01-05T22:41:45Z
34,SKU-17-584301,Premium Blender 468,Premium Blender 468 — quality small appliances product.,17,5,451.51,207.38,492,6.12,0,2021-01-06T01:32:43Z
35,SKU-33-740005,Ultra Hair Oil 428,Ultra Hair Oil 428 — quality hair care product.,33,29,250.37,142.25,288,9.87,1,2021-01-06T05:54:54Z
36,SKU-20-023936,Pro Kids T-Shirt 168,Pro Kids T-Shirt 168 — quality kids product.,20,65,128.86,97.61,415,0.58,1,2021-01-06T09:21:38Z
37,SKU-12-869984,Classic Action Cam 443,Classic Action Cam 443 — quality cameras product.,12,68,510.5,292.81,262,11.14,1,2021-01-06T17:12:32Z
38,SKU-22-364799,Pro Paperback 819,Pro Paperback 819 — quality fiction product.,22,43,321.77,243.46,323,12.82,1,2021-01-06T18:47:42Z
39,SKU-27-391934,Compact Cycling Gloves 327,Compact Cycling Gloves 327 — quality cycling product.,27,69,380.18,206.92,172,5.54,1,2021-01-07T02:46:12Z
40,SKU-14-619970,Heavy-Duty Dutch Oven 587,Heavy-Duty Dutch Oven 587 — quality cookware product.,14,1,148.85,96.62,461,11.82,1,2021-01-07T09:06:50Z
41,SKU-22-592038,Smart Novel 579,Smart Novel 579 — quality fiction product.,22,50,193.55,94.05,205,10.12,1,2021-01-07T14:34:12Z
42,SKU-15-443293,Elite Desk 382,Elite Desk 382 — quality furniture product.,15,39,117.25,60.18,236,8,1,2021-01-07T16:12:20Z
43,SKU-26-506795,Eco Backpack 927,Eco Backpack 927 — quality camping product.,26,35,11.47,5.81,326,10.99,1,2021-01-07T16:50:20Z
44,SKU-26-981213,Compact Camp Stove 404,Compact Camp Stove 404 — quality camping product.,26,34,514.39,247.47,238,12.46,1,2021-01-07T19:22:41Z
45,SKU-9-345226,Prime Laptop 579,Prime Laptop 579 — quality laptops product.,9,13,381.74,189.47,400,15.05,1,2021-01-07T19:32:05Z
46,SKU-12-290029,Elite DSLR 758,Elite DSLR 758 — quality cameras product.,12,2,476.35,277.74,452,0.37,1,2021-01-08T02:03:05Z
47,SKU-16-472937,Lightweight Comforter 270,Lightweight Comforter 270 — quality bedding product.,16,13,166.11,108.69,25,11.03,1,2021-01-08T06:37:43Z
48,SKU-24-929942,Smart Picture Book 283,Smart Picture Book 283 — quality children's books product.,24,44,119.56,66.59,283,0.16,1,2021-01-08T07:15:33Z
49,SKU-29-315029,Compact Action Figure 465,Compact Action Figure 465 — quality action figures product.,29,37,54.43,27.38,285,12.72,1,2021-01-08T09:43:27Z
50,SKU-18-938970,Elite Jacket 370,Elite Jacket 370 — quality men's product.,18,67,486.98,350.47,129,1.56,1,2021-01-08T11:52:53Z
51,SKU-12-806385,Lightweight Camera 448,Lightweight Camera 448 — quality cameras product.,12,49,623.32,369.63,122,8.51,1,2021-01-08T18:55:26Z
52,SKU-25-519239,Smart Kettlebell 901,Smart Kettlebell 901 — quality fitness product.,25,37,328.68,189.85,415,8,0,2021-01-08T22:36:03Z
53,SKU-30-597090,Deluxe Puzzle 392,Deluxe Puzzle 392 — quality educational product.,30,25,200.46,135.54,396,3.22,1,2021-01-09T04:38:42Z
54,SKU-9-613636,Premium Chromebook 625,Premium Chromebook 625 — quality laptops product.,9,39,322.23,152.81,224,8.36,1,2021-01-09T05:45:21Z
55,SKU-11-701478,Max Earbuds 160,Max Earbuds 160 — quality headphones product.,11,32,245.46,170.57,305,10.69,1,2021-01-09T09:39:23Z
56,SKU-19-279803,Ultra Cardigan 346,Ultra Cardigan 346 — quality women's product.,19,40,526.27,340.73,319,4.42,1,2021-01-09T15:26:38Z
57,SKU-12-235843,Smart Camera 128,Smart Camera 128 — quality cameras product.,12,50,51.91,26.19,221,4.98,1,2021-01-09T16:23:58Z
58,SKU-25-886554,Compact Kettlebell 939,Compact Kettlebell 939 — quality fitness product.,25,4,357.14,177.94,336,7.68,1,2021-01-10T00:01:34Z
59,SKU-12-067703,Deluxe Camera 606,Deluxe Camera 606 — quality cameras product.,12,47,644.9,327.75,101,4.41,1,2021-01-10T02:13:50Z
60,SKU-25-918091,Eco Yoga Mat 455,Eco Yoga Mat 455 — quality fitness product.,25,14,228.74,151.02,497,3.41,1,2021-01-10T09:52:50Z
61,SKU-23-913071,Heavy-Duty Guidebook 723,Heavy-Duty Guidebook 723 — quality non-fiction product.,23,28,776.28,366.81,321,12.93,1,2021-01-10T10:59:12Z
