id,product_id,customer_id,rating,title,body,is_verified_purchase,created_at
1,658,554,4,Solid product,Solid product for the price. A couple of small things could be better.,1,2024-09-21T14:25:29Z
2,766,1455,4,Happy with it,Does what it says. Happy with the purchase and would buy from this brand again.,1,2023-09-22T08:45:20Z
3,952,417,5,Highly recommend,Works perfectly and arrived quickly. Great quality for the price.,1,2023-03-22T19:09:50Z
4,928,86,4,Solid product,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2024-02-22T20:49:52Z
5,475,2467,4,Would buy again,Solid product for the price. A couple of small things could be better.,0,2024-09-18T06:49:22Z
6,980,1337,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,1,2023-08-07T05:15:04Z
7,1186,2596,5,Best purchase this year,Works perfectly and arrived quickly. Great quality for the price.,1,2024-12-14T04:11:18Z
8,870,2116,4,Would buy again,Does what it says. Happy with the purchase and would buy from this brand again.,1,2024-11-12T08:12:24Z
9,1130,2454,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2024-09-15T09:12:37Z
10,1110,289,5,Absolutely love it!,Exactly as described. I use it every day and couldn't be happier.,1,2023-12-30T02:46:37Z
11,866,543,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2023-05-08T12:31:30Z
12,91,991,4,Very good,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2023-05-14T07:37:27Z
13,985,10,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2023-05-16T00:13:42Z
14,917,1063,2,Disappointed,Had some issues out of the box. Wouldn't buy again.,0,2022-11-26T00:25:39Z
15,917,153,5,Exceeded expectations,Works perfectly and arrived quickly. Great quality for the price.,1,2024-03-25T08:37:12Z
16,224,890,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,0,2023-01-26T14:03:03Z
17,1159,2799,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,1,2025-01-10T09:10:19Z
18,137,2332,5,Absolutely love it!,Fantastic value. Shipping was fast and packaging was excellent.,1,2025-02-05T02:25:27Z
19,731,492,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,0,2022-03-25T12:33:04Z
20,843,2605,1,Waste of money,Stopped working after a short time. Very disappointed.,1,2025-01-28T20:31:21Z
21,524,2136,5,Highly recommend,Works perfectly and arrived quickly. Great quality for the price.,1,2025-02-02T06:54:02Z
22,237,1799,4,Would buy again,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2025-01-31T17:35:10Z
23,826,77,1,Terrible,Stopped working after a short time. Very disappointed.,0,2022-01-27T05:42:04Z
24,265,304,5,Exceeded expectations,Works perfectly and arrived quickly. Great quality for the price.,0,2022-05-22T09:15:28Z
25,844,125,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2024-10-09T21:33:01Z
26,329,1187,4,Would buy again,Solid product for the price. A couple of small things could be better.,1,2023-11-27T21:47:17Z
27,356,1722,4,Happy with it,Does what it says. Happy with the purchase and would buy from this brand again.,1,2023-11-28T16:54:02Z
28,317,2443,4,Happy with it,Does what it says. Happy with the purchase and would buy from this brand again.,0,2025-03-05T19:16:11Z
29,781,2073,2,Meh,Below average. Doesn't quite live up to the description.,1,2025-02-02T16:28:29Z
30,235,80,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,1,2024-08-02T16:10:51Z
31,388,2980,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2025-01-12T02:41:55Z
32,128,411,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,0,2022-01-26T00:52:06Z
33,1040,413,5,Exceeded expectations,Works perfectly and arrived quickly. Great quality for the price.,1,2023-06-17T21:15:37Z
34,274,931,4,Very good,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2024-08-23T10:41:09Z
35,1055,961,3,Does the job,Okay quality. Gets the job done but wouldn't rave about it.,1,2023-03-05T10:11:35Z
36,1119,2690,5,Absolutely love it!,Fantastic value. Shipping was fast and packaging was excellent.,0,2025-03-21T15:33:53Z
37,154,2193,4,Would buy again,Does what it says. Happy with the purchase and would buy from this brand again.,1,2024-10-31T01:39:47Z
38,854,250,1,Very poor,Stopped working after a short time. Very disappointed.,1,2024-03-17T18:54:21Z
39,358,601,1,Would not recommend,Complete waste of money. Returning it.,0,2022-06-25T10:58:50Z
40,1157,1448,3,It's okay,Okay quality. Gets the job done but wouldn't rave about it.,1,2023-12-22T11:21:59Z
41,813,2909,5,Highly recommend,Works perfectly and arrived quickly. Great quality for the price.,1,2025-01-23T19:56:41Z
42,441,901,2,Not great,Had some issues out of the box. Wouldn't buy again.,0,2022-10-28T16:31:35Z
43,139,109,5,Best purchase this year,Works perfectly and arrived quickly. Great quality for the price.,0,2021-06-05T09:30:08Z
44,1000,974,5,Absolutely love it!,Exactly as described. I use it every day and couldn't be happier.,1,2024-08-22T22:50:48Z
45,179,2139,4,Would buy again,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2024-09-06T22:55:43Z
46,731,1885,5,Absolutely love it!,Works perfectly and arrived quickly. Great quality for the price.,1,2024-01-26T16:55:21Z
47,701,6,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2024-03-07T11:02:03Z
48,1199,2212,3,Average,It's fine for the price but nothing special. Meets basic needs.,0,2024-09-19T01:23:04Z
49,675,966,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2023-07-24T13:04:40Z
50,570,2366,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,0,2024-05-23T09:08:40Z
51,390,280,4,Happy with it,Solid product for the price. A couple of small things could be better.,1,2024-12-02T07:27:44Z
52,493,1049,4,Happy with it,Solid product for the price. A couple of small things could be better.,1,2024-08-25T20:09:15Z
53,100,255,4,Happy with it,Solid product for the price. A couple of small things could be better.,0,2022-07-10T10:49:38Z
54,24,1200,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2024-08-29T01:13:44Z
55,58,194,5,Highly recommend,Works perfectly and arrived quickly. Great quality for the price.,1,2022-09-10T15:07:34Z
56,940,1873,3,Decent for the price,It's fine for the price but nothing special. Meets basic needs.,1,2024-10-24T02:10:15Z
57,24,2405,5,Absolutely love it!,Fantastic value. Shipping was fast and packaging was excellent.,1,2024-10-09T13:03:12Z
58,581,847,5,Exceeded expectations,Exactly as described. I use it every day and couldn't be happier.,1,2024-07-13T03:38:53Z
59,263,2895,5,Exceeded expectations,Exactly as described. I use it every day and couldn't be happier.,1,2025-01-13T13:13:45Z
60,489,599,4,Happy with it,Does what it says. Happy with the purchase and would buy from this brand again.,1,2022-09-05T03:04:42Z
61,244,2343,2,Disappointed,Not what I hoped for. Quality feels cheaper than expected.,0,2024-06-05T06:12:46Z
62,699,863,4,Very good,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2023-12-24T02:18:07Z
63,356,556,4,Solid product,Does what it says. Happy with the purchase and would buy from this brand again.,1,2023-12-03T08:51:40Z
64,440,1231,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2023-10-15T00:08:22Z
65,643,1482,3,Decent for the price,Okay quality. Gets the job done but wouldn't rave about it.,1,2024-04-05T03:13:19Z
66,955,47,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,1,2022-02-05T08:22:57Z
67,196,1084,5,Exceeded expectations,Works perfectly and arrived quickly. Great quality for the price.,0,2023-01-07T03:25:20Z
68,814,1517,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,1,2025-01-28T09:31:03Z
69,945,1231,5,Exceeded expectations,Exactly as described. I use it every day and couldn't be happier.,1,2023-09-29T21:04:40Z
70,659,1503,4,Solid product,Does what it says. Happy with the purchase and would buy from this brand again.,1,2024-02-02T02:39:18Z
71,624,2621,4,Would buy again,Does what it says. Happy with the purchase and would buy from this brand again.,1,2025-01-27T06:05:48Z
72,417,508,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,0,2022-11-24T16:43:02Z
73,651,245,5,Best purchase this year,Works perfectly and arrived quickly. Great quality for the price.,1,2025-01-15T05:09:04Z
74,1063,17,4,Very good,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2022-08-14T03:03:11Z
75,142,1521,3,It's okay,It's fine for the price but nothing special. Meets basic needs.,1,2023-07-31T13:51:48Z
76,457,2146,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,0,2024-06-04T14:00:59Z
77,193,438,4,Solid product,Solid product for the price. A couple of small things could be better.,0,2022-04-10T04:00:59Z
78,510,602,3,Average,It's fine for the price but nothing special. Meets basic needs.,0,2022-11-07T06:53:44Z
79,52,2335,5,Exceeded expectations,Works perfectly and arrived quickly. Great quality for the price.,1,2024-11-11T00:34:47Z
80,920,466,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2022-10-16T14:46:48Z
81,68,774,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,1,2023-07-10T19:41:29Z
82,589,13,3,It's okay,Average product. Works but I expected a little more.,1,2024-07-08T18:38:37Z
83,886,273,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,1,2023-11-03T19:48:59Z
84,898,99,2,Not great,Below average. Doesn't quite live up to the description.,1,2023-12-19T02:00:23Z
85,221,628,5,Exceeded expectations,Exactly as described. I use it every day and couldn't be happier.,1,2024-03-14T11:14:27Z
86,841,2092,2,Not great,Not what I hoped for. Quality feels cheaper than expected.,0,2024-11-23T20:45:30Z
87,183,2766,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,1,2025-02-11T22:33:25Z
88,23,564,5,Absolutely love it!,Works perfectly and arrived quickly. Great quality for the price.,1,2024-07-22T20:57:18Z
89,938,1855,3,It's okay,Okay quality. Gets the job done but wouldn't rave about it.,0,2024-05-10T15:19:55Z
90,275,76,5,Absolutely love it!,Fantastic value. Shipping was fast and packaging was excellent.,1,2023-08-16T12:37:32Z
91,576,211,2,Disappointed,Had some issues out of the box. Wouldn't buy again.,1,2022-08-13T16:54:14Z
92,1099,2060,5,Highly recommend,Works perfectly and arrived quickly. Great quality for the price.,0,2024-09-04T01:16:01Z
93,63,1340,3,Does the job,Okay quality. Gets the job done but wouldn't rave about it.,0,2023-03-18T18:18:23Z
94,33,2469,5,Absolutely love it!,Fantastic value. Shipping was fast and packaging was excellent.,1,2024-11-20T14:19:01Z
95,770,117,3,It's okay,Okay quality. Gets the job done but wouldn't rave about it.,1,2022-06-29T00:28:20Z
96,1092,2434,4,Solid product,Does what it says. Happy with the purchase and would buy from this brand again.,1,2025-01-13T19:01:50Z
97,667,1719,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2024-11-30T08:31:35Z
98,970,437,5,Absolutely love it!,Works perfectly and arrived quickly. Great quality for the price.,1,2024-02-19T15:35:28Z
99,946,926,5,Absolutely love it!,Fantastic value. Shipping was fast and packaging was excellent.,0,2022-10-26T00:10:21Z
100,846,1246,4,Solid product,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2023-12-14T02:57:33Z
101,31,630,4,Would buy again,Solid product for the price. A couple of small things could be better.,1,2022-09-27T13:20:01Z
102,366,5,4,Would buy again,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2024-04-19T01:41:23Z
103,1154,1811,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,0,2024-02-15T08:19:05Z
104,400,1000,5,Absolutely love it!,Works perfectly and arrived quickly. Great quality for the price.,1,2023-06-09T19:23:07Z
105,813,1298,5,Best purchase this year,Fantastic value. Shipping was fast and packaging was excellent.,0,2023-05-26T10:46:40Z
106,1199,478,5,Exceeded expectations,Works perfectly and arrived quickly. Great quality for the price.,1,2024-02-16T04:25:22Z
107,961,1001,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,1,2022-11-23T19:47:41Z
108,243,1473,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2025-01-12T11:10:25Z
109,1070,1456,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,1,2024-02-24T07:43:35Z
110,816,66,5,Highly recommend,Fantastic value. Shipping was fast and packaging was excellent.,1,2024-09-02T17:48:41Z
111,743,528,5,Highly recommend,Exactly as described. I use it every day and couldn't be happier.,1,2025-01-04T12:34:32Z
112,210,2343,5,Absolutely love it!,Works perfectly and arrived quickly. Great quality for the price.,0,2024-09-18T10:12:37Z
113,318,2726,4,Happy with it,"Good quality overall, minor nitpicks but nothing serious. Would recommend.",1,2025-02-03T11:49:33Z
114,640,2578,4,Solid product,Solid product for the price. A couple of small things could be better.,1,2024-12-18T05:40:38Z
115,895,328,5,Best purchase this year,Exactly as described. I use it every day and couldn't be happier.,0,2022-07-24T19:33:29Z
116,698,1523,5,Absolutely love it!,Works perfectly and arrived quickly. Great quality for the price.,0,2023-09-11T13:47:42Z
